Date,Open,High,Low,Close,Adj Close,Volume
2020-07-27,88.639999,89.500000,86.440002,87.139999,87.139999,15536091
2020-07-28,87.300003,87.639999,82.860001,83.860001,83.860001,44615651
2020-07-29,83.459999,84.360001,82.099998,83.440002,83.440002,14642588
2020-07-30,83.680000,83.800003,81.699997,82.239998,82.239998,16172426
2020-07-31,82.540001,83.540001,82.180000,82.779999,82.779999,11159192
2020-08-03,83.199997,84.279999,83.180000,83.519997,83.519997,10906310
2020-08-04,83.720001,84.080002,81.800003,81.879997,81.879997,17711450
2020-08-05,82.080002,82.720001,80.519997,82.019997,82.019997,20220881
2020-08-06,80.000000,83.120003,78.220001,82.000000,82.000000,33905340
2020-08-07,81.800003,82.180000,81.379997,81.540001,81.540001,12732821
2020-08-10,81.599998,83.199997,81.559998,83.040001,83.040001,15926721
2020-08-11,83.199997,83.800003,82.699997,83.519997,83.519997,12702198
2020-08-12,83.580002,89.180000,83.120003,85.360001,85.360001,67310430
2020-08-13,85.500000,88.000000,85.480003,86.260002,86.260002,17946131
2020-08-14,86.120003,86.900002,85.139999,85.959999,85.959999,7792851
2020-08-17,86.220001,86.599998,84.400002,84.839996,84.839996,5310721
2020-08-18,85.059998,85.139999,83.120003,83.440002,83.440002,9329152
2020-08-19,83.559998,83.919998,82.459999,83.660004,83.660004,5899561
2020-08-20,83.480003,83.839996,82.800003,82.959999,82.959999,4412572
2020-08-21,83.220001,83.879997,82.599998,83.300003,83.300003,4196321
2020-08-24,83.940002,84.360001,83.459999,84.080002,84.080002,4404913
2020-08-25,84.180000,84.500000,83.000000,83.260002,83.260002,3979760
2020-08-26,83.040001,83.940002,82.879997,83.220001,83.220001,5645841
2020-08-27,83.379997,83.400002,82.540001,82.980003,82.980003,3651461
2020-08-28,83.019997,83.080002,81.900002,82.279999,82.279999,4255581
2020-08-31,82.620003,82.699997,80.000000,80.639999,80.639999,10087891
2020-09-01,80.839996,82.400002,80.239998,81.860001,81.860001,7489622
2020-09-02,82.019997,82.500000,80.879997,81.699997,81.699997,4745091
2020-09-03,81.500000,82.500000,81.059998,81.599998,81.599998,6729470
2020-09-04,81.279999,82.320000,80.599998,81.620003,81.620003,3806791
2020-09-07,81.800003,82.320000,81.320000,81.879997,81.879997,1772232
2020-09-08,81.940002,82.260002,80.680000,81.480003,81.480003,5025561
2020-09-09,81.139999,82.199997,81.019997,81.900002,81.900002,3896081
2020-09-10,82.099998,82.099998,81.160004,81.820000,81.820000,3281093
2020-09-11,81.540001,82.800003,81.400002,82.040001,82.040001,4335611
2020-09-14,82.279999,82.279999,82.000000,82.080002,82.080002,9025912
2020-09-15,82.000000,82.419998,81.779999,82.360001,82.360001,4235111
2020-09-16,82.139999,83.760002,82.139999,82.760002,82.760002,5885581
2020-09-17,82.320000,83.080002,82.019997,82.139999,82.139999,5022974
2020-09-18,82.400002,82.400002,81.379997,81.500000,81.500000,5852700
2020-09-21,80.980003,81.000000,77.580002,79.160004,79.160004,11692971
2020-09-22,79.120003,79.300003,76.860001,77.500000,77.500000,7859363
2020-09-23,77.660004,77.879997,76.480003,77.480003,77.480003,6634531
2020-09-24,77.459999,77.459999,75.540001,75.900002,75.900002,7957283
2020-09-25,76.000000,76.459999,73.099998,74.379997,74.379997,11838610
2020-09-28,74.199997,76.379997,73.300003,75.500000,75.500000,8464421
2020-09-29,76.440002,76.440002,73.580002,74.099998,74.099998,8600700
2020-09-30,74.120003,74.699997,73.739998,74.080002,74.080002,4705901
2020-10-01,74.360001,74.360001,70.500000,70.839996,70.839996,11750560
2020-10-02,70.000000,71.500000,68.000000,68.900002,68.900002,22415690
2020-10-05,69.000000,69.199997,65.000000,65.360001,65.360001,33710265
2020-10-06,65.660004,67.699997,65.019997,67.599998,67.599998,29804761
2020-10-07,67.699997,68.300003,64.720001,65.660004,65.660004,24709301
2020-10-08,64.000000,64.839996,61.799999,62.279999,62.279999,45993875
2020-10-09,60.660000,61.340000,59.000000,59.939999,59.939999,106811570
2020-10-12,60.919998,60.919998,59.400002,59.759998,59.759998,36708971
2020-10-13,59.500000,59.740002,57.759998,58.099998,58.099998,49324230
2020-10-14,57.799999,59.340000,57.119999,58.720001,58.720001,38388692
2020-10-15,58.720001,58.720001,58.720001,58.720001,58.720001,0
2020-10-16,58.720001,58.720001,58.720001,58.720001,58.720001,0
2020-10-19,58.200001,58.880001,57.900002,58.660000,58.660000,14391170
2020-10-20,58.500000,58.560001,57.880001,58.080002,58.080002,21741640
2020-10-21,58.139999,58.860001,58.000000,58.500000,58.500000,10484021
2020-10-22,58.400002,59.560001,58.259998,59.380001,59.380001,22046261
2020-10-23,59.480000,60.500000,59.480000,59.720001,59.720001,18943051
2020-10-26,59.720001,60.299999,58.040001,58.259998,58.259998,20855299
2020-10-27,57.880001,57.880001,57.619999,57.740002,57.740002,21925641
2020-10-28,55.299999,55.299999,55.119999,55.220001,55.220001,38914502
2020-10-29,55.860001,56.180000,55.860001,56.040001,56.040001,22173101
2020-10-30,56.599998,57.880001,55.299999,57.200001,57.200001,34691331
2020-11-02,57.240002,57.240002,55.099998,56.500000,56.500000,21840730
2020-11-03,56.919998,58.700001,56.540001,58.400002,58.400002,25091561
2020-11-05,58.680000,60.099998,58.060001,59.480000,59.480000,30125981
2020-11-06,59.000000,59.860001,58.400002,59.480000,59.480000,19445550
2020-11-09,60.000000,68.099998,58.799999,64.160004,64.160004,149854290
2020-11-10,64.940002,66.160004,63.720001,64.739998,64.739998,52158801
